,timestamp,open,high,low,close,volume,close_time,quote_asset_volume,trades_count,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
128,1686515400000,26095.63000000,26134.05000000,26068.57000000,26123.68000000,361.76754000,1686517199999,9444209.29540610,13291,206.56292000,5392956.96001000,0
129,1686517200000,26123.69000000,26139.78000000,26080.01000000,26085.91000000,369.29717000,1686518999999,9643503.39306780,10989,164.02803000,4283268.60913770,0
130,1686519000000,26085.91000000,26097.09000000,25972.64000000,26046.37000000,594.18207000,1686520799999,15469088.50613990,17909,266.67589000,6941975.60755190,0
131,1686520800000,26046.37000000,26070.00000000,25984.01000000,25991.02000000,451.06772000,1686522599999,11740554.32360320,12393,178.25193000,4639410.15138710,0
132,1686522600000,25991.02000000,26001.38000000,25745.03000000,25895.80000000,1646.14794000,1686524399999,42577368.65588620,35311,734.81664000,19003314.31508540,0
133,1686524400000,25895.79000000,25931.95000000,25830.00000000,25848.98000000,533.12846000,1686526199999,13802390.00643150,16388,237.56265000,6150436.93135070,0
134,1686526200000,25848.98000000,25938.80000000,25819.66000000,25925.55000000,550.82761000,1686527999999,14256554.42560170,12487,279.78550000,7241209.20822670,0
135,1686528000000,25925.54000000,25956.48000000,25868.80000000,25898.55000000,504.57621000,1686529799999,13076488.95230900,16241,210.01870000,5442596.23201500,0
136,1686529800000,25898.55000000,26028.50000000,25856.84000000,25965.13000000,859.14644000,1686531599999,22275068.52607410,22428,442.80631000,11482062.48264890,0
137,1686531600000,25965.13000000,26000.00000000,25933.13000000,25947.31000000,560.64133000,1686533399999,14558356.02570060,16588,253.68513000,6587074.10062190,0
138,1686533400000,25947.30000000,25963.85000000,25891.66000000,25935.17000000,550.38856000,1686535199999,14267275.02769550,16537,259.61497000,6729488.90881820,0
139,1686535200000,25935.17000000,25959.56000000,25602.11000000,25731.67000000,1786.05434000,1686536999999,46034769.51053200,37225,688.38503000,17731835.18912230,0
140,1686537000000,25731.67000000,25822.97000000,25646.41000000,25773.47000000,1371.12078000,1686538799999,35293031.03702640,34479,670.78723000,17263904.22968010,0
141,1686538800000,25773.48000000,25833.96000000,25752.87000000,25824.78000000,674.10282000,1686540599999,17390980.79524860,18564,293.28042000,7566143.29445670,0
142,1686540600000,25824.77000000,25848.84000000,25778.40000000,25791.29000000,359.90885000,1686542399999,9288978.24162340,12937,143.13944000,3694093.86815900,0
143,1686542400000,25791.29000000,25820.14000000,25756.57000000,25807.43000000,568.51683000,1686544199999,14666857.53953860,16222,277.61925000,7162204.38558950,0
144,1686544200000,25807.43000000,25823.53000000,25777.10000000,25814.98000000,536.23994000,1686545999999,13836419.86340150,16119,337.75237000,8714777.29024290,0
145,1686546000000,25814.99000000,25818.72000000,25789.01000000,25809.08000000,314.65562000,1686547799999,8119693.78722040,10028,127.85693000,3299222.81443670,0
146,1686547800000,25809.07000000,25818.89000000,25762.57000000,25772.80000000,456.36254000,1686549599999,11770556.29293470,11465,172.69170000,4454560.81111490,0
147,1686549600000,25772.80000000,25888.94000000,25744.06000000,25867.09000000,601.04813000,1686551399999,15511677.48122660,16155,318.99202000,8233018.66580620,0
148,1686551400000,25867.09000000,25905.63000000,25828.20000000,25844.34000000,530.21658000,1686553199999,13711195.80752390,14964,292.78824000,7572170.24076920,0
149,1686553200000,25844.34000000,25858.31000000,25825.14000000,25825.22000000,444.34247000,1686554999999,11481706.12346980,11342,237.48147000,6136560.90974850,0
150,1686555000000,25825.21000000,25831.84000000,25773.20000000,25802.98000000,444.68708000,1686556799999,11476037.34572080,14196,217.69585000,5617726.69956710,0
151,1686556800000,25802.97000000,25948.91000000,25780.00000000,25915.00000000,734.22203000,1686558599999,18986720.32443360,20074,420.40998000,10871751.10899510,0
152,1686558600000,25914.99000000,25944.33000000,25880.46000000,25939.32000000,727.52442000,1686560399999,18844732.62651200,18654,403.27520000,10445812.78431360,0
153,1686560400000,25939.31000000,26106.48000000,25920.00000000,26028.07000000,1594.06389000,1686562199999,41466796.17627800,35299,799.51422000,20796799.37955500,0
